period,timestep,profile_name,value
3,23,cool,0.0
3,23,elec,0.6737388088536851
3,23,solar,0.0
3,23,transport_truck_bus_van_car_rail_aviation_maritime,0.4671326685480754
3,23,wind,0.1662435028316616
3,24,DHW_or_space,0.0579235132776175
3,24,RoR,0.5669805067759118
3,24,cool,0.0
3,24,elec,0.6629075362288152
3,24,solar,0.0
3,24,transport_truck_bus_van_car_rail_aviation_maritime,0.4644496483091377
3,24,wind,0.1408976905062141
4,1,DHW_or_space,0.008891635888828
4,1,RoR,0.515033180805443
4,1,cool,0.1464027011281759
4,1,elec,0.6913073832442205
4,1,solar,0.0
4,1,transport_truck_bus_van_car_rail_aviation_maritime,0.5364771918792128
4,1,wind,0.2590013193983388
4,2,DHW_or_space,0.0
4,2,RoR,0.515033180805443
4,2,cool,0.1301916890241093
4,2,elec,0.6964744961051907
4,2,solar,0.0
4,2,transport_truck_bus_van_car_rail_aviation_maritime,0.5279920392564666
4,2,wind,0.2601226917276229
4,3,DHW_or_space,0.005849580684395
4,3,RoR,0.515033180805443
4,3,cool,0.1128675338795028
4,3,elec,0.6947226514574009
4,3,solar,0.0
4,3,transport_truck_bus_van_car_rail_aviation_maritime,0.5260054376509753
4,3,wind,0.2441037689562303
4,4,DHW_or_space,0.0543866457854067
4,4,RoR,0.515033180805443
4,4,cool,0.0997146491929881
4,4,elec,0.6949254975911301
4,4,solar,0.0
4,4,transport_truck_bus_van_car_rail_aviation_maritime,0.5259447153480168
4,4,wind,0.2321649357262151
4,5,DHW_or_space,0.2166574195527441
4,5,RoR,0.515033180805443
4,5,cool,0.0914846129549386
4,5,elec,0.7050530155463902
4,5,solar,0.0042254786546103
4,5,transport_truck_bus_van_car_rail_aviation_maritime,0.5259447153480168
4,5,wind,0.2298629849183344
4,6,DHW_or_space,0.4389451543658968
4,6,RoR,0.515033180805443
4,6,cool,0.1872986583169142
4,6,elec,0.7193651912813245
4,6,solar,0.0548474474390523
4,6,transport_truck_bus_van_car_rail_aviation_maritime,0.5773955539500711
4,6,wind,0.214581426309326
4,7,DHW_or_space,0.4998523331364441
4,7,RoR,0.515033180805443
4,7,cool,0.2961901946624046
4,7,elec,0.5385226501786926
4,7,solar,0.1240102342316118
4,7,transport_truck_bus_van_car_rail_aviation_maritime,0.5311079924562282
4,7,wind,0.2052342523725434
4,8,DHW_or_space,0.4287203001616693
4,8,RoR,0.515033180805443
4,8,cool,0.3855045987944641
