period,rep_period,weight
135,3,0.6083101746172161
135,4,0.12297475294261487
135,5,0.268715072440169
136,3,0.4327078740305328
136,4,0.07929930867113197
136,5,0.4879928172983353
137,3,0.6630534942310771
137,5,0.3369465057689229
138,3,0.5508156847645761
138,5,0.44918431523542396
139,3,0.7573309392702384
139,4,0.17267677140375878
139,5,0.06999228932600277
140,3,0.7197835548423654
140,4,0.28021644515763455
141,3,0.7376122009213788
141,4,0.26238779907862114
142,3,0.9746431507941419
142,5,0.02535684920585818
143,3,0.7948487376948937
143,4,0.2051512623051063
144,3,0.7286030666540685
144,4,0.2713969333459315
145,3,0.3405999892129437
145,4,0.6594000107870562
146,3,0.1337343968979411
146,4,0.33284842475631077
146,5,0.5334171783457481
147,3,0.1268167610688143
147,4,0.21623285618736893
147,5,0.6569503827438169
148,1,0.1354062750808387
148,3,0.45057272647467483
148,4,0.2456599798291551
148,5,0.16836101861533143
149,2,0.16827287822059
149,3,0.6962719456530433
149,4,0.10276765223144466
149,5,0.03268752389492203
150,2,0.04517872615398444
150,3,0.31571972489717803
150,4,0.2414718707863653
150,5,0.39762967816247213
151,2,0.08606577185880089
151,4,0.5677918464319164
151,5,0.34614238170928263
152,2,0.13014851721446305
152,4,0.5653184297495646
152,5,0.30453305303597245
153,2,0.06985922234250896
153,3,0.2536930062823465
153,4,0.3101345115626997
153,5,0.3663132598124448
154,1,0.11174483557827802
154,2,0.07711028861746537
154,3,0.23208810973283298
154,4,0.2752412665020232
154,5,0.3038154995694005
155,1,0.31590728014815006
155,3,0.2896393150466468
155,4,0.1519850222510502
155,5,0.24246838255415293
156,1,0.36264165973135204
156,2,0.13455561704216823
156,3,0.38517381323262057
156,4,0.11762890999385917
157,1,0.48462102030497795
157,3,0.0961952167285688
157,4,0.20339917947699276
157,5,0.21578458348946042
158,1,0.5083679199798712
158,2,0.03962475083171986
158,3,0.27429727654861463
158,4,0.17771005263979428
159,1,0.5094918236549014
159,3,0.21706621406517485
159,4,0.2734419622799237
160,1,0.24474361436120004
