,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
128,Scraps_EAF_BEC5,0.11,0.11,0.11,steel,wy_2009,BEC5,Scraps_EAF
129,(NG)_gfi_BEC6,0.02,0.02,0.02,glass,wy_2009,BEC6,(NG)_gfi
130,leather-and-textile-production-reference_NLC2,0.0,0.0,10000000.0,leather-and-textile,wy_2009,NLC2,leather-and-textile-production-reference
131,other-chemicals-production-reference_NLC2,0.0,0.0,10000000.0,,wy_2009,NLC2,other-chemicals-production-reference
132,printing-and-media-production-reference_NLC5,0.0,0.0,10000000.0,printing-and-media,wy_2009,NLC5,printing-and-media-production-reference
133,(NG)PE_BEC8,0.03,0.03,0.03,chemicals,wy_2009,BEC8,(NG)PE
134,leather-and-textile-production-reference_NLC4,0.0,0.0,10000000.0,leather-and-textile,wy_2009,NLC4,leather-and-textile-production-reference
135,machinery-equipment-production-reference_BEC7,0.02,0.02,10000000.0,machinery-equipment,wy_2009,BEC7,machinery-equipment-production-reference
136,wood-and-wood-products_production-reference_NLC1,0.01,0.01,10000000.0,wood,wy_2009,NLC1,wood-and-wood-products_production-reference
137,pulp-production-reference_NLC5,0.0,0.0,10000000.0,pulp,wy_2009,NLC5,pulp-production-reference
138,other-chemicals-production-reference_NLC1,0.0,0.0,10000000.0,,wy_2009,NLC1,other-chemicals-production-reference
139,(NG)NH3_BEC1,0.13,0.13,0.13,ammonia,wy_2009,BEC1,(NG)NH3
140,food-beverages-tobacco-production-reference_NLC5,0.11,0.11,10000000.0,food-beverages-tobacco,wy_2009,NLC5,food-beverages-tobacco-production-reference
141,machinery-equipment-production-reference_BEC1,0.05,0.05,10000000.0,machinery-equipment,wy_2009,BEC1,machinery-equipment-production-reference
142,ceramics-and-other-non-metalic-minerals-production-reference_BEC7,0.23,0.23,10000000.0,,wy_2009,BEC7,ceramics-and-other-non-metalic-minerals-production-reference
143,other-industrial-sectors_production-reference_BEC6,0.02,0.02,10000000.0,,wy_2009,BEC6,other-industrial-sectors_production-reference
144,transport-equipment-production-reference_NLC4,0.01,0.01,10000000.0,transport-equipment,wy_2009,NLC4,transport-equipment-production-reference
145,printing-and-media-production-reference_NLC9,0.0,0.0,10000000.0,printing-and-media,wy_2009,NLC9,printing-and-media-production-reference
146,leather-and-textile-production-reference_BEC4,0.01,0.01,10000000.0,leather-and-textile,wy_2009,BEC4,leather-and-textile-production-reference
147,EU-mix-2018_NLC6,0.07,0.07,0.0,cement,wy_2009,NLC6,EU-mix-2018
148,pharmaceuticals-production-reference_NLC5,0.0,0.0,10000000.0,pharmaceuticals,wy_2009,NLC5,pharmaceuticals-production-reference
149,Scraps_EAF_BEC3,0.2,0.2,0.2,steel,wy_2009,BEC3,Scraps_EAF
150,other-chemicals-production-reference_NLC3,0.0,0.0,10000000.0,,wy_2009,NLC3,other-chemicals-production-reference
151,(LN)O_NLC9,0.14,0.14,0.14,chemicals,wy_2009,NLC9,(LN)O
152,leather-and-textile-production-reference_BEC5,0.02,0.02,10000000.0,leather-and-textile,wy_2009,BEC5,leather-and-textile-production-reference
153,(LN)O_NLC4,0.0,0.0,0.0,chemicals,wy_2009,NLC4,(LN)O
154,CEM2-(BMW)MEA_NLC6,0.0,-0.0,0.07,cement,wy_2009,NLC6,CEM2-(BMW)MEA
155,machinery-equipment-production-reference_BEC2,0.02,0.02,10000000.0,machinery-equipment,wy_2009,BEC2,machinery-equipment-production-reference
156,(NG)PEA_NLC6,1.55,1.55,1.55,chemicals,wy_2009,NLC6,(NG)PEA
157,(NG)PE_BEC3,0.1,0.1,0.1,chemicals,wy_2009,BEC3,(NG)PE
158,(NG)PEA_BEC3,0.05,0.05,0.05,chemicals,wy_2009,BEC3,(NG)PEA
159,machinery-equipment-production-reference_BEC6,0.02,0.02,10000000.0,machinery-equipment,wy_2009,BEC6,machinery-equipment-production-reference
160,(NG)PE_BEC4,0.02,0.02,0.02,chemicals,wy_2009,BEC4,(NG)PE
161,printing-and-media-production-reference_BEC6,0.01,0.01,10000000.0,printing-and-media,wy_2009,BEC6,printing-and-media-production-reference
162,wood-and-wood-products_production-reference_NLC2,0.0,0.0,10000000.0,wood,wy_2009,NLC2,wood-and-wood-products_production-reference
163,(H2)DRI-EAF_BEC4,0.61,0.61,0.61,steel,wy_2009,BEC4,(H2)DRI-EAF
164,(NG)PE_NLC7,0.24,0.24,0.24,chemicals,wy_2009,NLC7,(NG)PE
165,transport-equipment-production-reference_NLC8,0.01,0.01,10000000.0,transport-equipment,wy_2009,NLC8,transport-equipment-production-reference
166,(NG)PE_BEC2,0.0,0.0,0.0,chemicals,wy_2009,BEC2,(NG)PE
167,printing-and-media-production-reference_BEC1,0.02,0.02,10000000.0,printing-and-media,wy_2009,BEC1,printing-and-media-production-reference
168,food-beverages-tobacco-production-reference_NLC2,0.11,0.11,10000000.0,food-beverages-tobacco,wy_2009,NLC2,food-beverages-tobacco-production-reference
169,(NG)PE_BEC1,0.49,0.49,0.49,chemicals,wy_2009,BEC1,(NG)PE
