,source,target,commodity,y2030,y2040,y2050,scenario
42,DE,NLC9,methane,0.1366104402245052,0.077222086478688,0.1158707218264162,wy_2009
43,NLC7,BEC1,electricity,0.0,0.02951500540595489,0.0317043187196227,wy_2009
44,BEC5,NLC8,electricity,0.0,0.006413992743794412,0.009678715285480885,wy_2009
45,DE,NLC8,electricity,0.023,0.023,0.023,wy_2009
46,NLC5,NLC3,electricity,0.030910801015714192,0.0,0.0,wy_2009
47,BEC8,BEC2,methane,0.026500562666474145,0.032810746567289,0.05896657200188396,wy_2009
48,NLC6,NLC4,electricity,0.069,0.06900000000000002,0.069,wy_2009
49,BEC7,BEC8,electricity,0.029615866825861745,0.0027674566011238843,0.0,wy_2009
50,BEC1,NLC7,electricity,0.002410440137839232,0.0,0.0,wy_2009
51,NLC1,NLC2,electricity,0.012152947636116594,0.024271928447480582,0.024840897270327872,wy_2009
52,DE,NLC3,electricity,0.0575,0.0575,0.0575,wy_2009
53,NLC1,NLC2,methane,0.024092637036950616,0.02761522803714628,0.022598041354939643,wy_2009
54,BEC5,BEC1,methane,0.06905327784141083,0.04063058616545256,0.04967491099369465,wy_2009
55,FR,BEC3,methane,0.08943538730830228,0.08699648779001573,0.06934661716081804,wy_2009
56,DE,NLC8,methane,0.32062831793873475,0.2800100512277385,0.20489634566156387,wy_2009
57,NLC1,NLC3,electricity,0.033911863298507296,0.003952121059930968,0.0033486775370836883,wy_2009
58,BEC6,BEC5,electricity,0.010486894237486015,0.069,0.06845274949999999,wy_2009
59,NLC8,BEC5,electricity,0.023,0.0,0.0,wy_2009
60,BEC8,BEC7,electricity,0.009825207195477787,0.0,0.0,wy_2009
61,BEC2,BEC7,electricity,0.0033886361799828654,0.0,0.0,wy_2009
62,NLC2,NLC5,electricity,0.042009125614236406,0.0025406492528127645,0.003069621075660048,wy_2009
63,BEC8,NLC7,methane,0.08440007034293766,0.08861549864411916,0.09330739504233097,wy_2009
64,BEC8,BEC4,hydrogen,0.04403721457586213,0.04403721457586213,0.044038152975862124,wy_2009
65,BEC3,BEC2,methane,0.04186582851607655,0.042500831720012226,0.01649021294451149,wy_2009
66,BEC4,BEC2,electricity,0.02699091874131087,0.0,0.0,wy_2009
67,DE,NLC1,methane,0.07976831703913559,0.07728871877771508,0.0683296249902862,wy_2009
68,DE,BEC6,methane,0.1858800674968146,0.12051010835250343,0.2352608013002174,wy_2009
