,unit_name,node,y2030,y2040,y2050,scenario,polygon,technology
26,EU-mix-2018_IE,cement,4436.54,4436.54,4436.54,wy_2009,IE,EU-mix-2018
27,Diaphragm_IE,chemicals,7.57,7.57,7.57,wy_2009,IE,Diaphragm
28,REF-SMR_IE,emission,11122.25,4594.44,0.0,wy_2009,IE,Refinery
29,solar-PV-no-tracking_IE,electricity,894.45,7586.28,19734.79,wy_2009,IE,Solar
30,wasteST-existing_IE,electricity,595.68,0.0,0.0,wy_2009,IE,Waste Steam Turbine
31,paper-production-alternative_IE,paper,60.0,60.0,60.0,wy_2009,IE,paper-production-alternative
32,food-beverages-tobacco-production-reference_IE,emission,15.95,8.16,7.31,wy_2009,IE,food-beverages-tobacco-production-reference
33,alumina-production-reference_IE,emission,57.41,0.0,16.75,wy_2009,IE,alumina-production-reference
34,RoR_IE,electricity,777.31,777.31,777.31,wy_2009,IE,Run-of-River
35,wind-on-existing_IE,electricity,24316.49,19528.89,0.0,wy_2009,IE,Onshore Wind
36,electric-heating-existing_IE,buildings heat,4393.1,308.74,28.71,wy_2009,IE,Electric Heater
37,(BM)FT_IE,hydrocarbons,0.0,6844.46,6844.46,wy_2009,IE,Biofuel Production
38,air-heatpump_IE,buildings heat,0.0,18070.24,18740.85,wy_2009,IE,Air HP
39,wind-on-SP277-HH100_IE,electricity,128.18,12530.47,35936.23,wy_2009,IE,Onshore Wind
40,ground-heatpump_IE,buildings heat,0.0,7915.3,8391.98,wy_2009,IE,Ground HP
41,REF(H2)_IE,emission,10893.08,10893.08,9967.16,wy_2009,IE,Refinery
42,REF(H2)_IE,hydrocarbons,26813.74,26813.74,24534.55,wy_2009,IE,Refinery
43,wood-and-wood-products-production-alternative_IE,wood,804.43,804.43,804.43,wy_2009,IE,wood-and-wood-products-production-alternative
44,pharmaceuticals-production-reference_IE,pharmaceuticals,12.88,0.0,0.0,wy_2009,IE,pharmaceuticals-production-reference
45,other-non-ferrous-metals-production-reference_IE,other-non-ferrous-metals,6.62,0.0,9.26,wy_2009,IE,other-non-ferrous-metals-production-reference
46,food-beverages-tobacco-production-alternative_IE,food-beverages-tobacco,1630.88,2191.49,2252.58,wy_2009,IE,food-beverages-tobacco-production-alternative
47,transport-equipment-production-alternative_IE,transport-equipment,32.45,32.45,32.45,wy_2009,IE,transport-equipment-production-alternative
