,source,target,y2030,y2040,y2050,polygon,technology,scenario
256,electricity,industry,0.0003894076331677745,0.0003894076331677745,0.0003894076331677745,NLC6,transport-equipment-production-reference_NLC6,wy_2009
257,electricity,industry,0.0018669423864809973,0.0018669423864809973,0.0018669423864809973,NLC2,food-beverages-tobacco-production-reference_NLC2,wy_2009
258,electricity,industry,0.007951728639660795,0.007951728639660795,0.007951728639660795,BEC4,(H2)DRI-EAF_BEC4,wy_2009
259,coal,,0.0004890661181860833,0.0004890661181860833,0.0004890661181860833,NLC3,ceramics-and-other-non-metalic-minerals-production-reference_NLC3,wy_2009
260,hydrocarbons,industry,0.0008295861178605018,0.0008295861178605018,0.0008295861178605018,NLC8,food-beverages-tobacco-production-reference_NLC8,wy_2009
261,methane,industry,0.02227476359975551,0.02227476359975551,0.02227476359975551,NLC9,(NG)NH3_NLC9,wy_2009
262,methane,,0.0010208932399169935,0.0010208932399169935,0.0010208932399169935,NLC1,other-industrial-sectors_production-reference_NLC1,wy_2009
263,methane,,0.0004145091267338168,0.0004145091267338168,0.0004145091267338168,BEC7,other-chemicals-production-reference_BEC7,wy_2009
264,methane,industry,0.0005121509640006184,0.0005121509640006184,0.0005121509640006184,BEC5,leather-and-textile-production-reference_BEC5,wy_2009
265,waste,industry,0.0005577078990851682,0.0005577078990851682,0.0005577078990851682,NLC5,EU-mix-2018_NLC5,wy_2009
266,hydrocarbons,,0.0007410930484158266,0.0007410930484158266,0.0007410930484158266,BEC8,ceramics-and-other-non-metalic-minerals-production-reference_BEC8,wy_2009
267,electricity,industry,0.0004470619491817258,0.0004470619491817258,0.0004470619491817258,NLC2,machinery-equipment-production-reference_NLC2,wy_2009
268,methane,,0.0009510072266114238,0.0009510072266114238,0.0009510072266114238,BEC1,other-industrial-sectors_production-reference_BEC1,wy_2009
269,electricity,industry,0.0,0.0,0.0016289160495615,BEC7,CEM2-(BMW)MEA_BEC7,wy_2009
270,electricity,industry,0.001269379603040638,0.001269379603040638,0.001269379603040638,BEC1,machinery-equipment-production-reference_BEC1,wy_2009
271,waste,industry,0.002238981862879041,0.002238981862879041,0.0004097527523830307,BEC7,EU-mix-2018_BEC7,wy_2009
272,biomass,,0.0013112686520371515,0.0013112686520371515,0.0013112686520371515,BEC5,ceramics-and-other-non-metalic-minerals-production-reference_BEC5,wy_2009
273,electricity,,0.000849471116702535,0.000849471116702535,0.000849471116702535,BEC8,other-industrial-sectors_production-reference_BEC8,wy_2009
274,electricity,industry,0.0018269091336216776,0.0018269091336216776,0.0018269091336216776,BEC4,food-beverages-tobacco-production-reference_BEC4,wy_2009
275,biomass,industry,0.000361186194964637,0.000361186194964637,0.000361186194964637,BEC8,food-beverages-tobacco-production-reference_BEC8,wy_2009
276,electricity,industry,0.0029092586266012558,0.0029092586266012558,0.0029092586266012558,BEC8,food-beverages-tobacco-production-reference_BEC8,wy_2009
277,methane,industry,0.0005763168708695451,0.0005763168708695451,0.0005763168708695451,BEC1,machinery-equipment-production-reference_BEC1,wy_2009
278,hydrocarbons,industry,0.001104791291798946,0.001104791291798946,0.001104791291798946,BEC7,food-beverages-tobacco-production-reference_BEC7,wy_2009
279,methane,industry,0.000867160990322986,0.000867160990322986,0.000867160990322986,NLC9,(NG)_gco_NLC9,wy_2009
280,hydrocarbons,industry,0.001601277696347032,0.001601277696347032,0.001601277696347032,BEC7,(LN)O_BEC7,wy_2009
281,electricity,industry,0.0007889906151763382,0.0007889906151763382,0.0007889906151763382,BEC4,(NG)PEA_BEC4,wy_2009
282,biomass,industry,0.0015090504472270358,0.0015090504472270358,0.0015090504472270358,BEC6,pulp-production-reference_BEC6,wy_2009
283,methane,industry,0.08054780486012107,0.08054780486012107,0.08054780486012107,NLC6,(NG)PEA_NLC6,wy_2009
284,methane,,0.0016711321769068335,0.0016711321769068335,0.0016711321769068335,BEC8,ceramics-and-other-non-metalic-minerals-production-reference_BEC8,wy_2009
285,electricity,industry,0.0027670563576819547,0.002767056357681977,0.002767056357681977,NLC7,(LN)O_NLC7,wy_2009
286,hydrocarbons,,0.0006482992957595915,0.0006482992957595915,0.0006482992957595915,BEC2,other-industrial-sectors_production-reference_BEC2,wy_2009
287,methane,,0.0004347461607366509,0.0004347461607366509,0.0004347461607366509,BEC2,other-industrial-sectors_production-reference_BEC2,wy_2009
288,methane,industry,0.0033084115275896094,0.0033084115275896094,0.0033084115275896094,BEC1,Diaphragm_BEC1,wy_2009
289,electricity,,0.0009387160750939529,0.0009387160750939529,0.0009387160750939529,NLC7,other-industrial-sectors_production-reference_NLC7,wy_2009
290,biomass,industry,0.0031029333489985306,0.0031029333489985306,0.0031029333489985306,BEC8,wood-and-wood-products_production-reference_BEC8,wy_2009
291,coal,industry,0.001549440498764769,0.001549440498764769,0.001549440498764769,BEC4,(H2)DRI-EAF_BEC4,wy_2009
292,electricity,industry,0.004797903950708173,0.004797903950708173,0.004797903950708173,BEC2,food-beverages-tobacco-production-reference_BEC2,wy_2009
293,methane,industry,0.0031738031647568954,0.0031738031647568954,0.0031738031647568954,NLC8,other-non-ferrous-metals-production-reference_NLC8,wy_2009
294,biomass,industry,0.0013027449014572047,0.0013027449014572047,0.0013027449014572047,BEC4,paper-production-reference_BEC4,wy_2009
295,hydrocarbons,industry,0.0007928637092223903,0.0007928637092223903,0.0007928637092223903,BEC6,food-beverages-tobacco-production-reference_BEC6,wy_2009
296,biomass,industry,0.0,0.0,0.010607129913811254,BEC7,CEM2-(BMW)MEA_BEC7,wy_2009
297,electricity,,0.0003600033142081352,0.0003600033142081352,0.0003600033142081352,BEC5,other-chemicals-production-reference_BEC5,wy_2009
298,hydrocarbons,,0.0009134218009366104,0.0009134218009366104,0.0009134218009366104,NLC9,other-industrial-sectors_production-reference_NLC9,wy_2009
299,electricity,industry,0.000666233473294115,0.000666233473294115,0.000666233473294115,BEC1,printing-and-media-production-reference_BEC1,wy_2009
300,methane,industry,0.0005104520856273098,0.0005104520856273098,0.0005104520856273098,BEC5,machinery-equipment-production-reference_BEC5,wy_2009
301,methane,industry,0.0026467292220716874,0.0026467292220716874,0.0026467292220716874,BEC5,Diaphragm_BEC5,wy_2009
302,methane,industry,0.001867514606909795,0.001867514606909795,0.001867514606909795,BEC2,paper-production-reference_BEC2,wy_2009
303,electricity,industry,0.0045363128861840695,0.0045363128861840695,0.0045363128861840695,NLC6,food-beverages-tobacco-production-reference_NLC6,wy_2009
304,electricity,industry,0.0008864711783287782,0.0008864711783287782,0.0008864711783287782,BEC5,(NG)PE_BEC5,wy_2009
305,methane,,0.00043900345957677614,0.00043900345957677614,0.00043900345957677614,NLC8,ceramics-and-other-non-metalic-minerals-production-reference_NLC8,wy_2009
306,hydrocarbons,industry,0.0013024198390573078,0.0013024198390573078,0.0013024198390573078,NLC6,food-beverages-tobacco-production-reference_NLC6,wy_2009
307,methane,industry,0.002254152200769275,0.002254152200769275,0.002254152200769275,NLC5,food-beverages-tobacco-production-reference_NLC5,wy_2009
308,methane,industry,0.00044056646029814637,0.00044056646029814637,0.00044056646029814637,NLC7,(NG)PE_NLC7,wy_2009
309,methane,industry,0.0006194007073735613,0.0006194007073735613,0.0006194007073735613,NLC6,(NG)_gco_NLC6,wy_2009
310,hydrocarbons,,0.0012560798855342065,0.0012560798855342065,0.0012560798855342065,BEC5,other-industrial-sectors_production-reference_BEC5,wy_2009
311,coal,,0.0011032100888523203,0.0011032100888523203,0.0011032100888523203,BEC5,ceramics-and-other-non-metalic-minerals-production-reference_BEC5,wy_2009
312,methane,,0.0005614912819543468,0.0005614912819543468,0.0005614912819543468,NLC4,other-industrial-sectors_production-reference_NLC4,wy_2009
313,electricity,,0.0005496577813957578,0.0005496577813957578,0.0005496577813957578,BEC4,other-industrial-sectors_production-reference_BEC4,wy_2009
314,coal,industry,0.0013519610532569193,0.0013519610532569193,0.0013519610532569193,BEC6,EU-mix-2018_BEC6,wy_2009
315,electricity,industry,0.0015037758793839248,0.0015037758793839248,0.0015037758793839248,NLC4,food-beverages-tobacco-production-reference_NLC4,wy_2009
316,methane,,0.0003573126339709485,0.0003573126339709485,0.0003573126339709485,NLC2,other-industrial-sectors_production-reference_NLC2,wy_2009
317,electricity,industry,0.0007741912725573474,0.0007741912725573474,0.0007741912725573474,BEC4,paper-production-reference_BEC4,wy_2009
318,hydrogen,industry,0.05855189006415813,0.05855189006415813,0.05855189006415813,NLC5,(H2)DRI-EAF_NLC5,wy_2009
319,electricity,industry,0.0012773198548049285,0.0012773198548049285,0.0012773198548049285,NLC1,machinery-equipment-production-reference_NLC1,wy_2009
320,electricity,industry,0.0049904404919850365,0.0049904404919850365,0.0049904404919850365,BEC1,other-non-ferrous-metals-production-reference_BEC1,wy_2009
321,electricity,industry,0.0005802878185328627,0.0005802878185328627,0.0005802878185328627,BEC2,machinery-equipment-production-reference_BEC2,wy_2009
322,methane,industry,0.004283128811671364,0.004283128811671364,0.004283128811671364,BEC5,other-non-ferrous-metals-production-reference_BEC5,wy_2009
323,electricity,industry,0.0019159797822073921,0.0019159797822073921,0.0019159797822073921,NLC3,machinery-equipment-production-reference_NLC3,wy_2009
324,methane,industry,0.0060007087339106835,0.0060007087339106835,0.0060007087339106835,BEC2,food-beverages-tobacco-production-reference_BEC2,wy_2009
325,electricity,industry,0.0005798933770209915,0.0005798933770209915,0.0005798933770209915,BEC1,leather-and-textile-production-reference_BEC1,wy_2009
326,methane,,0.0015313398598754933,0.0015313398598754933,0.0015313398598754933,NLC6,other-industrial-sectors_production-reference_NLC6,wy_2009
327,methane,industry,0.00567780305031505,0.00567780305031505,0.00567780305031505,BEC1,other-non-ferrous-metals-production-reference_BEC1,wy_2009
328,electricity,industry,0.013340360379850983,0.013340360379850983,0.013340360379850983,BEC1,(NG)PEA_BEC1,wy_2009
329,electricity,,0.0006571012525657673,0.0006571012525657673,0.0006571012525657673,NLC5,other-industrial-sectors_production-reference_NLC5,wy_2009
330,methane,,0.0006125359439501962,0.0006125359439501962,0.0006125359439501962,NLC9,other-industrial-sectors_production-reference_NLC9,wy_2009
331,electricity,industry,0.01277894104385266,0.01277894104385266,0.01277894104385266,NLC6,(NG)PEA_NLC6,wy_2009
332,hydrocarbons,,0.0010368468608782165,0.0010368468608782165,0.0010368468608782165,BEC5,ceramics-and-other-non-metalic-minerals-production-reference_BEC5,wy_2009
333,electricity,industry,0.0003989478752413413,0.0003989478752413413,0.0003989478752413413,BEC4,machinery-equipment-production-reference_BEC4,wy_2009
334,biomass,,0.0009372378113844379,0.0009372378113844379,0.0009372378113844379,BEC8,ceramics-and-other-non-metalic-minerals-production-reference_BEC8,wy_2009
335,electricity,,0.0017489111226228662,0.0017489111226228662,0.0017489111226228662,BEC1,other-industrial-sectors_production-reference_BEC1,wy_2009
336,hydrocarbons,industry,0.0005174641174414071,0.0005174641174414071,0.0005174641174414071,NLC5,food-beverages-tobacco-production-reference_NLC5,wy_2009
337,electricity,industry,0.0006386599274024643,0.0006386599274024643,0.0006386599274024643,NLC7,machinery-equipment-production-reference_NLC7,wy_2009
338,coal,,0.0007885265979376781,0.0007885265979376781,0.0007885265979376781,BEC8,ceramics-and-other-non-metalic-minerals-production-reference_BEC8,wy_2009
339,electricity,,0.0018774321501879075,0.0018774321501879075,0.0018774321501879075,NLC1,other-industrial-sectors_production-reference_NLC1,wy_2009
340,methane,,0.003207272194594739,0.003207272194594739,0.003207272194594739,BEC1,other-chemicals-production-reference_BEC1,wy_2009
341,hydrocarbons,,0.0006888180017445659,0.0006888180017445659,0.0006888180017445659,BEC8,other-industrial-sectors_production-reference_BEC8,wy_2009
342,methane,industry,0.004803813538060113,0.004803813538060113,0.004803813538060113,NLC6,Diaphragm_NLC6,wy_2009
343,methane,industry,0.0009585115394946175,0.0009585115394946175,0.0009585115394946175,BEC8,(NG)PEA_BEC8,wy_2009
344,biomass,,0.000581300947146028,0.000581300947146028,0.000581300947146028,NLC3,ceramics-and-other-non-metalic-minerals-production-reference_NLC3,wy_2009
345,hydrocarbons,,0.0004596465120534406,0.0004596465120534406,0.0004596465120534406,NLC3,ceramics-and-other-non-metalic-minerals-production-reference_NLC3,wy_2009
346,electricity,industry,0.0018023213972127115,0.0018023213972127115,0.0018023213972127115,NLC5,food-beverages-tobacco-production-reference_NLC5,wy_2009
347,methane,industry,0.001463744216575787,0.001463744216575787,0.001463744216575787,BEC1,food-beverages-tobacco-production-reference_BEC1,wy_2009
348,methane,industry,0.0005799218610866171,0.0005799218610866171,0.0005799218610866171,NLC1,machinery-equipment-production-reference_NLC1,wy_2009
349,electricity,industry,0.0005850696303176932,0.0005850696303176932,0.0005850696303176932,NLC1,paper-production-reference_NLC1,wy_2009
350,methane,industry,0.022823859346348833,0.022823859346348833,0.022823859346348833,BEC1,(NG)NH3_BEC1,wy_2009
351,electricity,industry,0.0027895782376801902,0.0027895782376801902,0.0027895782376801902,NLC8,other-non-ferrous-metals-production-reference_NLC8,wy_2009
352,electricity,industry,0.0019159797822073936,0.0019159797822073936,0.0019159797822073936,NLC6,machinery-equipment-production-reference_NLC6,wy_2009
353,hydrocarbons,industry,0.15679986026864412,0.15679986026864537,0.15679986026864537,NLC7,(LN)O_NLC7,wy_2009
354,hydrocarbons,,0.0016746066350504514,0.0016746066350504514,0.0016746066350504514,NLC8,other-industrial-sectors_production-reference_NLC8,wy_2009
355,hydrocarbons,industry,0.1721210426179604,0.1721210426179604,0.1721210426179604,BEC1,(LN)O_BEC1,wy_2009
