,source,target,y2030,y2040,y2050,polygon,technology,scenario
68,,emission,0.0012425430712221478,0.0012425430712221478,0.0012425430712221478,,atmosphere,wy_2009
69,machinery-equipment,emission,0.002750831304912679,0.002750831304912679,0.002750831304912679,,atmosphere,wy_2009
70,paper,emission,0.032299156403897765,0.032299156403897765,0.032299156403897765,,atmosphere,wy_2009
71,leather-and-textile,emission,0.0008884323980522869,0.0008884323980522869,0.0008884323980522869,,atmosphere,wy_2009
72,,emission,0.0009299345242408348,0.0009299345242408348,0.0009299345242408348,,atmosphere,wy_2009
73,steel,emission,0.5732929845429646,0.5732929845429646,0.5732929845429646,,atmosphere,wy_2009
74,food-beverages-tobacco,emission,0.0417285990303685,0.0417285990303685,0.0417285990303685,,atmosphere,wy_2009
75,,emission,0.012764938890477282,0.012764938890477282,0.012764938890477282,,atmosphere,wy_2009
76,,emission,0.011633189771124302,0.011633189771124302,0.011633189771124302,,atmosphere,wy_2009
77,pharmaceuticals,emission,0.0012686143965550325,0.0012686143965550325,0.0012686143965550325,,atmosphere,wy_2009
78,leather-and-textile,emission,0.0016348747710099687,0.0016348747710099687,0.0016348747710099687,,atmosphere,wy_2009
79,food-beverages-tobacco,emission,0.05739636980232253,0.05739636980232253,0.05739636980232253,,atmosphere,wy_2009
80,food-beverages-tobacco,emission,0.09011019966583485,0.09011019966583485,0.09011019966583485,,atmosphere,wy_2009
81,leather-and-textile,emission,0.0008965442292635296,0.0008965442292635296,0.0008965442292635296,,atmosphere,wy_2009
82,,emission,0.17161115202692817,0.17161115202692817,0.17161115202692817,,atmosphere,wy_2009
83,,emission,0.0056764353015473995,0.0056764353015473995,0.0056764353015473995,,atmosphere,wy_2009
84,steel,emission,0.13866769928462458,0.13866769928462458,0.13866769928462458,,atmosphere,wy_2009
85,transport-equipment,emission,0.0012208664305413224,0.0012208664305413224,0.0012208664305413224,,atmosphere,wy_2009
86,pharmaceuticals,emission,0.0012686143965550307,0.0012686143965550307,0.0012686143965550307,,atmosphere,wy_2009
87,,emission,0.09876895568434477,0.09876895568434477,0.09876895568434477,,atmosphere,wy_2009
88,food-beverages-tobacco,emission,0.03580166206336365,0.03580166206336365,0.03580166206336365,,atmosphere,wy_2009
89,cement,emission,0.2612763634092274,0.2612763634092274,0.0,,atmosphere,wy_2009
90,leather-and-textile,emission,0.0006515170919050087,0.0006515170919050087,0.0006515170919050087,,atmosphere,wy_2009
91,,emission,0.006708514447283279,0.006708514447283279,0.006708514447283279,,atmosphere,wy_2009
92,machinery-equipment,emission,0.0005727817769443916,0.0005727817769443916,0.0005727817769443916,,atmosphere,wy_2009
93,food-beverages-tobacco,emission,0.0370853059370708,0.0370853059370708,0.0370853059370708,,atmosphere,wy_2009
94,transport-equipment,emission,0.00041276633567151067,0.00041276633567151067,0.00041276633567151067,,atmosphere,wy_2009
95,pulp,emission,0.00033967238576278365,0.00033967238576278365,0.00033967238576278365,,atmosphere,wy_2009
96,paper,emission,0.01744457111235113,0.01744457111235113,0.01744457111235113,,atmosphere,wy_2009
97,,emission,0.2917548412369409,0.2917548412369409,0.2917548412369409,,atmosphere,wy_2009
98,leather-and-textile,emission,0.00035537295922091457,0.00035537295922091457,0.00035537295922091457,,atmosphere,wy_2009
99,transport-equipment,emission,0.0013783975828692344,0.0013783975828692344,0.0013783975828692344,,atmosphere,wy_2009
100,,emission,0.0036854245358330195,0.0036854245358330195,0.0036854245358330195,,atmosphere,wy_2009
101,food-beverages-tobacco,emission,0.07643692218719203,0.07643692218719203,0.07643692218719203,,atmosphere,wy_2009
102,,emission,0.006756413565758289,0.006756413565758289,0.006756413565758289,,atmosphere,wy_2009
103,other-non-ferrous-metals,emission,0.10734439472384052,0.10734439472384052,0.10734439472384052,,atmosphere,wy_2009
104,transport-equipment,emission,0.00043321066890175946,0.00043321066890175946,0.00043321066890175946,,atmosphere,wy_2009
105,other-non-ferrous-metals,emission,0.1448640151722585,0.1448640151722585,0.1448640151722585,,atmosphere,wy_2009
106,transport-equipment,emission,0.0010319158391787744,0.0010319158391787744,0.0010319158391787744,,atmosphere,wy_2009
107,paper,emission,0.06488607668690358,0.06488607668690358,0.06488607668690358,,atmosphere,wy_2009
108,,emission,0.0024348152518161893,0.0024348152518161893,0.0024348152518161893,,atmosphere,wy_2009
109,,emission,0.07628001128154167,0.07628001128154167,0.07628001128154167,,atmosphere,wy_2009
110,steel,emission,0.07563692688252249,0.07563692688252249,0.07563692688252249,,atmosphere,wy_2009
111,cement,emission,0.6738790758002351,0.6738790758002351,0.6738790758002351,,atmosphere,wy_2009
112,,emission,0.00046710094172542304,0.00046710094172542304,0.00046710094172542304,,atmosphere,wy_2009
113,food-beverages-tobacco,emission,0.05779007804356161,0.05779007804356161,0.05779007804356161,,atmosphere,wy_2009
114,machinery-equipment,emission,0.0020172762902692957,0.0020172762902692957,0.0020172762902692957,,atmosphere,wy_2009
